gstout,40.93,
bkaulback,39.89,
theviper,39.33,
jonesj,38.51,
baltimoreclipper,36.84,
eddiemorales,36.5,
lbthad,36.48,
markfair,35.83,
mikescar,35.48,
peteh,35.17,
jkulsa,34.96,
bwalton,34.74,
tommy,34.74,
maddg180,34.71,
extremehop,34.41,
billyj,34.24,
robertdixon,34.23,
jpidarts,34.21,
timadams,34.21,
fleasandticks,34.18,
r1breck,34.15,
bg420,34.11,
trooper,34.11,
darthack57,33.98,
sheareynolds,33.96,
ozzie,33.9,
eds,33.86,
phxkix76,33.83,
bullcoks,33.78,
melissap180,33.68,
lonnykempf68,33.57,
davidllerena,33.44,
teamstai350,33.44,
vindel,33.32,
kkaneshi,33.31,
johnnyk180,33.3,
crath,33.1,
andym,33.05,
rstewart,33.02,
dartmaster,32.85,
kluhr,32.76,
tigertok,32.75,
philman,32.7,
spricket,32.68,
kamander,32.63,
ashten,32.63,
doug808,32.57,
elmer,32.5,
shad13,32.4,
craigi,32.38,
drowdd,32.37,
kory,32.37,
nickriv,32.35,
killian24,32.33,
danthomas,32.31,
jgraton,32.29,
drstew1277,32.25,
js49ers,32.22,
allenjohnson,32.22,
scorpion180,32.22,
data174,32.1,
adamy,32.1,
peterl,31.93,
johnnymacc36,31.89,
jjjamriska,31.83,
won23,31.81,
eroper,31.79,
rlweevo8,31.73,
jeddart,31.49,
mmensinger,31.48,
dsiperly,31.39,
george,31.34,
mofsie0176,31.34,
abrant95,31.21,
pvelenger,31.2,
markmeares,31.19,
mark104,31.13,
dallas88,31.08,
jharv1985,31.06,
ddartgod,31.05,
devonation,31.03,
miker,30.94,
jstilts,30.89,
rascal808,30.85,
emily,30.82,
jlee,30.81,
harold,30.8,
kevinlloyd,30.79,
mikegloss,30.75,
chricrouch,30.72,
montana16,30.66,
jesswncr1,30.64,
ronniecole,30.63,
kerwinlloyd,30.54,
schultzy,30.54,
kalehilligas,30.45,
markkoldesko,30.44,
carolinakid,30.41,
mallison,30.39,
dartkid1,30.34,
craigh,30.31,
johnbeard,30.31,
sidney,30.27,
dcarberry,30.22,
lakertime,30.21,
sdubois,30.21,
browns,30.2,
bartz123,30.15,
whitehorse1,30.14,
azpig,30.08,
scherbing,29.99,
dennis69,29.94,
steve,29.94,
wed190,29.9,
chrisg,29.82,
claylittle,29.81,
cdouthat,29.81,
cmrath,29.78,
wbloss,29.78,
rr061863,29.78,
maggotbrain,29.77,
edotts,29.77,
skinny,29.73,
jbush,29.71,
cashkutz77,29.7,
dflowers,29.67,
mikeeee,29.61,
jrod,29.59,
tubby1972,29.59,
dgarlough,29.57,
lucky,29.56,
pesky,29.54,
drew14500,29.48,
codyreynolds,29.47,
edshoepe,29.46,
willie,29.45,
tylermeares,29.44,
adamwunglueck,29.39,
elizabeth,29.35,
gam,29.33,
kevintaylor,29.3,
showers,29.29,
robert0915,29.23,
sixdartout,29.2,
haas,29.17,
brianp,29.17,
brettroberts,29.16,
ixnay1039,29.16,
jeffn,29.15,
clizzardism,29.13,
davewilderman,29.12,
jdaddio,29.08,
rschmitt,29.07,
danb,29.05,
localasian,29.02,
ronnellb,28.95,
greg,28.94,
kekic,28.94,
randy,28.91,
dirtrider929,28.86,
ted420,28.83,
buckslayer33,28.82,
rprince,28.82,
naluboy04,28.73,
weldprorp1,28.68,
whoppa72,28.66,
dradner,28.66,
ericg,28.65,
bobby147,28.61,
nightcap24,28.5,
woodpecker,28.49,
tony,28.49,
k1ng,28.46,
jranold05,28.45,
speedy12,28.44,
joeymeade,28.43,
gramirez,28.41,
johno,28.34,
bjones,28.33,
j2346,28.32,
rustylewis,28.22,
skidoo,28.14,
munoz5665,28.14,
wheeler10,28.13,
boomer10,28.11,
dartmonster,28.11,
j120477d,28.1,
stevthomps,28.09,
brickaz,28.09,
giulio,28.05,
richardd,28.04,
yamblaster200,28.03,
paulp,28.03,
galactus0504,28.01,
halstorm,28,
mikebarr,27.98,
crobs1,27.98,
russsalvador,27.97,
dylanandersen,27.96,
kieron,27.93,
cthomas81,27.92,
onoboy,27.92,
bigal,27.91,
unkie,27.89,
apg7879kids9,27.88,
clyde,27.71,
tmistydad2,27.68,
bobcody19588,27.67,
brians,27.67,
junior,27.55,
toto,27.55,
brian1527,27.52,
dceric1313,27.49,
b2469,27.48,
k0na,27.47,
monkey,27.45,
tomwilliamson,27.43,
dgomez,27.43,
michaelmelo,27.41,
jmb110672,27.36,
tdempsey,27.33,
billeast,27.28,
jake001,27.26,
dinman,27.24,
bryan56,27.23,
mrrogers,27.2,
xzavier,27.2,
bubba,27.14,
krugi1121,27.12,
melissa8604,27.11,
ryandahammah,27.1,
pjlasher,27.08,
cowboy,27.08,
tommygun760,27.07,
justin87,27.06,
bobmccoll,27.05,
angrysmurf,27.03,
ryanrichards,27.01,
matt1129,27.01,
jimmyworrell,27,
bobbyg,26.98,
bradons,26.96,
grimct,26.95,
shartnett,26.95,
eggs,26.94,
khos,26.93,
bigjosh6106,26.9,
dvinesky,26.9,
tidal,26.85,
robbie,26.83,
dwright,26.83,
j2206,26.8,
boomboom,26.79,
fatboyzjerky,26.7,
frog,26.68,
kpenney,26.68,
ace,26.65,
wayners15,26.62,
dartssking25,26.6,
porkpie1,26.6,
alvinreynolds,26.59,
jimkinee,26.59,
kormick,26.54,
shawn730,26.51,
peaches33,26.49,
q1718,26.47,
cb112233,26.47,
pops,26.46,
lukelee,26.46,
davidhickman,26.45,
lilybaby,26.43,
yurga,26.41,
egarma,26.38,
rockowen,26.36,
gimo,26.35,
fdurst101,26.34,
zjohnson89,26.33,
dankchina,26.32,
mattycakes,26.32,
jer069,26.31,
fat1179,26.3,
repodart,26.3,
lazerxdarts,26.3,
hendog72,26.28,
salanga,26.27,
keithk575,26.26,
jef1712,26.24,
shelleyponte,26.23,
mtprice20,26.21,
madhatter,26.21,
smp4,26.15,
gdoheny,26.14,
joej,26.13,
dodgers23,26.13,
jeff,26.1,
thegiant,26.09,
hawk,26.08,
slepecki,26.06,
tkunkel,26.06,
fburns19,26.05,
aname3,26.05,
justinproctor,26.04,
rw1234,26.02,
cody12,26.02,
bnolder,26,
redneck,26,
jluke,26,
tinsken1,25.99,
m00300003,25.98,
ben,25.95,
villain,25.94,
deleonibus,25.91,
jtrip12,25.9,
crazynative,25.86,
drifta808,25.86,
bblake,25.85,
hdossantos,25.85,
drew1191,25.81,
heath,25.8,
georgefarr,25.79,
rfeche2370,25.79,
kostura14,25.76,
eddwin,25.72,
bobboh10,25.72,
rkeckler,25.71,
pillowpants69,25.71,
teer2,25.71,
mnichols69,25.68,
jdub,25.66,
billbeard,25.64,
murrdogg,25.63,
fjames,25.63,
rushed55,25.6,
dsmithii,25.59,
